date,S_L_L,S_L_H,S_H_L,S_H_H,B_L_L,B_L_H,B_H_L,B_H_H
2011-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-04,-0.02136791439440104,-0.027068848185498262,-0.020752802612772896,-0.02578626996253126,-0.02407903577876029,-0.031246537765360835,-0.023127990009400513,-0.02781533175846387
2011-05-05,0.00670561051421238,0.0014073840147411074,0.006141581206726669,0.005021673764317827,-0.003814413570801845,-0.006078099100534212,0.005154401147730601,-0.006726001528934583
2011-05-06,3.235507889477664e-05,-0.0037223370897998135,-0.00012761728550441127,-0.001293739086732574,0.001112903632808326,-0.005837724225605734,-0.018068575684605702,0.00014037918101810713
2011-05-09,0.004527819553235162,0.0042255755479743305,0.0030153239620605244,0.007674407184998383,0.002462129481579118,0.001392786935750239,-0.00030703375810692225,0.0026483148438965756
2011-05-10,0.002437975302696884,0.009167073993026987,0.0021767040676919608,0.003930939159782417,0.0053158714414605745,0.010811892331034348,0.005752367892139289,0.011066355961644484
2011-05-11,-0.005495872244862977,-0.004040643208582617,-0.0060344997178460435,-0.0027323933452413325,-0.0001267255999985561,-0.01632871664766566,-0.004638000731549646,-0.007801679024208547
2011-05-12,-0.018547587656874965,-0.017191030858834645,-0.01561827008990647,-0.019227738230550143,-0.014665890619433521,-0.036615894669029606,-0.011448402921426253,-0.020438276780566478
2011-05-13,0.013158586152908673,0.014729875544752141,0.010675093496225014,0.008215837134951281,-0.003794390734912523,0.011901154409940514,0.010688820895776127,0.008048905282051315
2011-05-16,-0.005675659781997994,-0.0007911266560558141,-0.005831989870722309,-0.03197500202653612,-0.010580085884983936,-0.01278597288080968,-0.009828918634410641,-0.009965341975492474
2011-05-17,0.0006251924972828384,0.004264691694115801,0.0009842352421247074,0.0014248985002803334,0.003263011173108357,0.011878067790576987,0.0009341255778524096,0.010969295799128347
2011-05-18,0.006593536390302393,0.004862214950284175,0.006333331047968134,0.003289634383908103,0.004819381066251808,0.015021844736665547,0.00880644435416073,0.012762825328680451
