date,S_L,S_M,S_H,M_L,M_M,M_H,B_L,B_M,B_H
2011-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-04,-0.02479583617419847,-0.019539636721997815,-0.028026532356658175,-0.03324702116583236,-0.019894659126641602,-0.02086558573524903,-0.025395809993050265,-0.02657070257252036,-0.019159106257813967
2011-05-05,0.0021302279235517513,-0.0026189253981179134,0.0075074627302028,0.004929799175513956,0.003915965702116293,0.003427029480658564,-0.002339256516240871,-0.005359240347964711,0.008473807024558168
2011-05-06,-0.01061715447436777,-0.001975995445779496,-0.001915621120602653,0.0045543273759339415,0.002466107961618557,-0.0008566804003199601,-0.004225484290011265,-0.02520727609306331,-0.0051456588258236395
2011-05-09,0.002615943970968836,0.0034853142709593524,0.007054810509062353,0.006293630037787569,0.001148642883022276,0.00692005275922451,0.0031115052766386223,0.0011766250152057244,-0.0010545557518933752
2011-05-10,0.0020083829932160814,0.005144260674149132,0.0033681815009900425,0.006515393830435175,0.009382781947663961,0.0034798502903320124,0.008080189358052273,0.00887227423595179,0.004029424637087843
2011-05-11,-0.0004718281363158057,-0.001005892730091109,-0.003556690412991648,-0.0013599156031626168,-0.028871465940656524,-0.0014960213651078352,-0.0024992328737068305,-0.005107109641997624,-0.0033156983617998155
2011-05-12,-0.006012520756611461,-0.011192081158963143,-0.0147706817757365,-0.018635419251146968,-0.02024258225608156,-0.02246108181781156,-0.027326861842418615,-0.013425192273716432,-0.009911484963590272
2011-05-13,0.009905185368535926,0.010026549395565756,0.010087529673563835,0.016272161740454854,0.012004742877408176,0.007629755467443581,-0.006174116761432863,0.01012959997564833,0.009373388005437305
2011-05-16,-0.00035040803971064577,-0.023279044021569925,-0.027497158386628234,-0.008784253385871403,-0.009858087431076286,-0.008430086869306522,-0.008239651157338672,-0.01296638059349847,-0.009411397819218187
2011-05-17,-0.0004387467942424105,0.0018904361362294167,-0.002045927871124026,0.0007195785306010162,0.0033954151318847194,0.003158046391355126,0.00503230442320598,0.0019478089326517446,0.003307925505432316
2011-05-18,0.009648713389870927,0.0038774767092637445,0.008023475620170533,0.0037561280316926998,0.005057671413795629,0.003193525044258353,0.010466049770160185,0.00972172063833588,0.007885822073785785
2011-05-19,-0.007612031169275546,-0.010828123614473446,-0.011617803346121306,-0.008116045945337656,-0.005980142918626271,-0.024901635079050306,0.0005385696965809111,-0.008462975299884054,-0.0036460817954791416
2011-05-20,-0.005591048033364167,-0.00415560100377778,-0.004672804178810781,0.002032318466969884,-0.004082925576290844,-0.00601711352206066,0.004042241771783756,-0.0018757222467509485,0.0015803447624786761
2011-05-23,-0.03412846878231078,-0.04005947694148671,-0.036158948578071254,-0.029713448159438532,-0.035932977707156324,-0.033885933508588345,-0.032242184089595324,-0.023734445790523934,-0.023108287606438613
2011-05-24,-0.00570448177569375,-0.0010905935622612269,0.0016161771892946903,0.0025824239809350428,0.002990480924157553,0.0011012992973341567,0.005074430813011771,-0.00492700116033406,-0.0034764743485669702
2011-05-25,-0.011897898835540871,-0.018870391878844095,-0.015964751307925084,-0.007671483057073285,-0.01564579193539655,-0.011142264156206652,-0.009332621693385446,-0.0016392625448898258,-0.013923931529852624
2011-05-26,0.0010887171626892287,-0.005094816787378599,-0.007026702694198834,-0.013841506762398778,-0.009392739710170841,-0.0073787732008772115,-0.006511780435519937,0.003614583102723284,0.0007626829651012452
2011-05-27,-0.015080284970858872,-0.013463330915636632,-0.011395819920868838,-0.015556560439440405,-0.027778125247009365,-0.011723187048659472,-0.01725507855750328,0.0033838413227731175,-0.0002768708821984118
2011-05-30,-0.014838958547881257,-0.015594041282310024,-0.013192732304956998,-0.014850291229827808,-0.012042011559137911,-0.010740148230122672,0.0012088818420150323,-0.0007128309286962948,0.012009827482249808
2011-05-31,0.016685281075718122,0.016236844697402223,0.018257967073804886,0.017266651743504703,0.02002105777610964,0.019959449187821623,0.02070193355859905,0.010568447403764078,0.008215710089162272
2011-06-01,0.012759537119384773,0.007523250232301421,0.0035625847577235937,0.010554392089088451,0.0027983798718482786,-0.00014860035262063065,0.008588615596008006,-0.006312287448505866,-0.004016081743003901
2011-06-02,-0.017193739683365163,-0.01887480783747653,-0.008237760616885165,-0.012804556866473218,-0.008272134029761298,-0.019417605614096282,-0.006835229352034744,-0.014353398080436331,-0.019892860118127242
2011-06-03,0.01684000772550382,0.016065852363494202,0.015205907540782288,0.015186619845213724,0.015953938533305283,0.013167132078587643,0.013923288986951023,0.0030445471429006916,-0.004549770434610281
2011-06-07,0.004660277765023651,0.004270462635217611,0.0025601853724377915,0.00917612951127262,-0.004321622014882001,0.004109692096720581,0.0028470076541683097,0.004440305053164352,0.006236973683864493
2011-06-08,0.002843945755359261,0.004025556388649982,0.0005602965515281075,0.004033571366674072,0.006740390044022252,0.0067623284967562106,0.0015165180281066489,0.0025168151776873197,0.00034095586689081845
2011-06-09,-0.022224671886505596,-0.026381668049035127,-0.01971784456941629,-0.024087134327767698,-0.02524103601993331,-0.017205691004904117,-0.025891953144920266,-0.012254732584914921,-0.012932129080702619
2011-06-10,0.0037835060993321266,0.006321524247199037,0.0024078107763865256,0.0008897106219995189,0.009943508589422919,0.004210428264904005,0.002293898840794572,0.003261080298210808,-0.005401292693843536
2011-06-13,-0.007424294812616416,-0.008282463706777746,-0.005392751640477398,-0.005652288196944118,-0.001921870057717527,-0.006219452765854691,0.0018196360292135148,-0.004856653994648331,0.002468656212948376
2011-06-14,0.008418392105016827,0.015183359552104607,0.018578549274557796,0.014202058849944346,0.012853668998912665,0.014953280554128185,0.015172083070234007,0.008534929177502756,0.010289716335823396
2011-06-15,-0.011834084980628825,-0.013225005102771704,-0.006899556351764762,-0.010891646449183508,-0.009745234594576555,-0.008205064388944987,-0.01031938987516829,-0.010923101898922191,-0.008663638486675364
2011-06-16,-0.023793870300632066,-0.022593156664261396,-0.017986606999507156,-0.02214374291707115,-0.020381372473979465,-0.02449161668937985,-0.013195524897492952,-0.023703503833037032,-0.007923399547188221
2011-06-17,-0.014306568549917317,-0.012671718488459542,-0.009580809919100333,-0.016900851790743063,-0.013848288515557505,-0.012490937474080687,-0.011530117657369941,-0.0026702805906642477,0.00027404033623172814
2011-06-20,-0.0107161270934717,-0.013713900322635359,-0.0024014957855072396,-0.011022529747058599,-0.012149794147160019,-0.014697320311018355,-0.01277557031207033,-0.005151634460456575,-0.010564068436919852
2011-06-21,0.01108331523738501,0.01553069433462925,0.01163912645977218,0.009679129746232307,0.009606164713051504,0.01020228911572191,0.01843698287776414,0.010404522071959292,0.005368992242271924
