,0
2018-05-02,0.0
2018-05-03,0.004031099999999954
2018-05-04,-0.0009334372212174147
2018-05-07,0.00605337147399676
2018-05-08,0.0021348321287080196
2018-05-09,-0.0009060432282389508
2018-05-10,0.002742961949580236
2018-05-11,-0.0020799948202461227
2018-05-14,0.003796776518141698
2018-05-15,0.0028183863151993727
2018-05-16,-0.0017050064680789179
2018-05-17,-0.00169463149835547
2018-05-18,0.0035604489079918977
2018-05-21,0.0004681106611637009
2018-05-22,-0.0016159690777143298
2018-05-23,-0.004983907096368312
2018-05-24,-0.002463315907291763
2018-05-25,-0.00010751164544331449
2018-05-28,0.001758425582792933
2018-05-29,-0.001460342289116845
2018-05-30,-0.008578015058114286
2018-05-31,0.007322297192372984
2018-06-01,-0.003249237787185222
2018-06-04,0.0027352354215326447
2018-06-05,0.004623906490828444
2018-06-06,0.0016900099329824059
2018-06-07,0.0018614371916592098
2018-06-08,-0.0058784307212585984
2018-06-11,0.0011724976805043141
2018-06-12,0.0033485853181538516
2018-06-13,-0.00385624906654769
2018-06-14,0.0006188222920118225
2018-06-15,-0.00022876231674406888
2018-06-19,-0.019588434343844274
2018-06-20,0.0037872557944489404
2018-06-21,-0.002375318401228621
2018-06-22,0.0018506707132139866
2018-06-25,-0.006820158793073516
2018-06-26,-0.005375863348747512
2018-06-27,-0.011926925513374376
2018-06-28,-0.005846572099341807
2018-06-29,0.010922263179082181
2018-07-02,-0.014724911777561078
2018-07-03,-0.0006078137311581466
2018-07-04,-0.0036032861686643436
2018-07-05,-0.004576982581466771
2018-07-06,0.000867136432054938
2018-07-09,0.009116658446846282
2018-07-10,0.001583031235607102
2018-07-11,-0.009073150897575655
2018-07-12,0.010151452822743545
2018-07-13,0.002609087994877246
2018-07-16,-0.0011988813198490211
2018-07-17,-0.004018909445694829
2018-07-18,-0.002765515184658618
2018-07-19,-0.0018671698320891217
2018-07-20,0.004734041225591623
2018-07-23,0.002961205095101782
2018-07-24,0.010248018228371292
2018-07-25,0.0016251794385619966
2018-07-26,-0.0027247202949927107
2018-07-27,-0.002029740082360454
2018-07-30,-0.0010800648491681164
2018-07-31,-0.00014442532165304112
2018-08-01,-0.007901989246486552
2018-08-02,-0.009241962585182395
2018-08-03,-0.007496164185240017
2018-08-06,-0.006235722892902529
2018-08-07,0.012384023651975218
2018-08-08,-0.006561298197540255
2018-08-09,0.007349787522172635
2018-08-10,0.0013164287794200646
2018-08-13,-0.001818892640812586
2018-08-14,-8.742144008178077e-05
2018-08-15,-0.009580779120129779
2018-08-16,-0.004123483445397258
2018-08-17,-0.005443772021748838
2018-08-20,0.003965068791413007
2018-08-21,0.006055675382634407
2018-08-22,-0.0018771744652578137
2018-08-23,-0.001502462554912376
2018-08-24,0.00042887325695173395
2018-08-27,0.011909172242727584
2018-08-28,-0.0012634779998493828
2018-08-29,-0.0006822624073730132
2018-08-30,-0.0036301363594428704
2018-08-31,-0.0008111728368276339
2018-09-03,-0.0011307311617712035
2018-09-04,0.004526140508386511
2018-09-05,-0.00808972487311066
2018-09-06,-0.004252125531926998
2018-09-07,0.0031258119866257594
2018-09-10,-0.005323798510254774
2018-09-11,-0.0025809362281251635
2018-09-12,-0.0006172006900734273
2018-09-13,0.0032817277455592375
2018-09-14,0.0029563205455838126
2018-09-17,-0.005500820904355219
2018-09-18,0.00834957602947628
2018-09-19,0.009358319448145025
2018-09-20,-0.0006333019576787446
2018-09-21,0.01250007898910832
2018-09-25,-0.005776879334713936
2018-09-26,0.0034507792370706003
2018-09-27,-0.0006466402130137494
2018-09-28,0.0057858642833650276
2018-10-08,-0.019098542804741325
2018-10-09,-0.0001366291845861234
2018-10-10,0.002052150405712938
2018-10-11,-0.026664061742198375
2018-10-12,0.0019072326713254206
2018-10-15,-0.004970384203349831
2018-10-16,-0.005377334160157954
2018-10-17,0.007244995525464981
2018-10-18,-0.010104867258799
2018-10-19,0.012676772678996917
2018-10-22,0.020509983890993233
2018-10-23,-0.009387730063173061
2018-10-24,-0.00046273509331984375
2018-10-25,-0.0005269411527000223
2018-10-26,-0.00032388146410278207
2018-10-29,-0.007294950671998257
2018-10-30,0.004595618033626625
2018-10-31,0.004345999663292632
2018-11-01,0.002964448997756497
2018-11-02,0.01151817677564937
2018-11-05,-0.0035943393457531503
2018-11-06,-0.00011051312526144663
2018-11-07,-0.0038429544069726873
2018-11-08,-0.0022723295659745624
2018-11-09,-0.004931377386629854
2018-11-12,0.0073691142447900315
2018-11-13,0.006933146926277889
2018-11-14,-0.002447704247356297
2018-11-15,0.006568535201084247
2018-11-16,0.00471938436024999
2018-11-19,0.004367915983896298
2018-11-20,-0.009987733868097926
2018-11-21,0.0014234776513062375
2018-11-22,-0.0005044175176411869
2018-11-23,-0.01331084454774234
2018-11-26,0.00025835247252792293
2018-11-27,0.0007023709309468273
2018-11-28,0.00811820012458897
2018-11-29,-0.005901700179514191
2018-11-30,0.0044962654243234645
2018-12-03,0.010529789908946041
2018-12-04,0.0017585633101115938
2018-12-05,-0.003723357272436889
2018-12-06,-0.008756465077433884
2018-12-07,0.002526473245940686
2018-12-10,-0.0048481611955791815
2018-12-11,0.0028267975399094425
2018-12-12,0.0005790216427987716
2018-12-13,0.005532996448156302
2018-12-14,-0.008099829725761842
2018-12-17,0.0006333136999725486
2018-12-18,-0.00376579977874536
2018-12-19,-0.0030003127607781677
2018-12-20,-0.002794411603453395
2018-12-21,-0.0037091897671416296
2018-12-24,0.0025951591456756518
2018-12-25,-0.004342482580329099
2018-12-26,-0.00020875715283630303
