alpha,年度,策略名称,收益率,日均收益率,年化收益率,最大回撤(%),夏普比率
alpha001,2012,TestStrategy,0.3767828775653566,0.00014261274699672847,0.03659200314874372,-43.67358633214379,0.2502354462804729
alpha_ALAQ,2012,TestStrategy,0.8763101332810468,0.00033168438050001773,0.0871770386124016,-45.74320098781087,0.5040139358133512
alpha_bm,2012,TestStrategy,1.363678821793574,0.0005161539825108153,0.13890901932028438,-34.65735549994566,0.5384862861657083
alpha_CTA,2012,TestStrategy,0.8830741593397868,0.00033424457204382543,0.08787867705363439,-40.46456402313216,0.5226145580716046
alpha_CVD,2012,TestStrategy,0.905889384928519,0.00034288016083592693,0.0902486620350256,-55.34309621687394,
alpha_EMQ,2012,TestStrategy,0.4553880272937138,0.00017236488542532696,0.044393099968963914,-57.87796266931983,0.27885878248286694
alpha_EPQ,2012,TestStrategy,1.2339711313215453,0.00046705947438362806,0.12490544984776371,-36.11023605006189,0.7613845349127606
alpha_Fama_French,2012,TestStrategy,1.2788144344296863,0.00048403271552978285,0.1297272640148367,-43.282279958483926,0.7365535004137338
alpha_financial_health,2012,TestStrategy,0.8857458299961347,0.00033525580242094427,0.08815593656230575,-41.89037744292332,0.5304372967162745
alpha_High_Low,2012,TestStrategy,-0.3896570662024567,-0.0001474856420145559,-0.03648418947114405,-52.91167747772333,-0.03825112352768589
alpha_liquidity,2012,TestStrategy,0.8763101332810468,0.00033168438050001773,0.0871770386124016,-45.74320098781087,0.5040139358133512
alpha_market_alpha,2012,TestStrategy,0.020893992324976383,7.908399820203022e-06,0.0019949039331612164,-56.8529679865575,0.11561986708597405
alpha_momentum,2012,TestStrategy,0.786688615238263,0.00029776253415528497,0.07792312637882252,-47.49865118209178,
alpha_momentum_60,2012,TestStrategy,0.23951819212567346,9.065790769329048e-05,0.023108756582535486,-53.86531314822183,0.21364859217051996
alpha_multi,2012,TestStrategy,-0.49447814162169373,-0.00018716053808542533,-0.04606949452144613,-61.01752184373012,-0.11401421184585396
alpha_PMQ,2012,TestStrategy,0.6741057884507283,0.0002551498063780198,0.06640987632260627,-35.26023389245641,0.4491686066417229
alpha_PMQ_momentum,2012,TestStrategy,0.5323832395802969,0.0002015076607041245,0.0520913345879839,-46.840698252262506,0.35813350037994135
alpha_Price_VWAP,2012,TestStrategy,35.942631224566554,0.013604326731478635,29.823899175130904,-31.781751115562503,6.816130582087257
alpha_reversal,2012,TestStrategy,0.8969255105020557,0.0003394873241870007,0.08931690344069673,-48.001967946386934,0.4383619214042283
alpha_ROA_momentum,2012,TestStrategy,0.8691124539178695,0.00032896005068806566,0.08643091389869743,-43.725732094493196,0.43594423491519685
alpha_ROE,2012,TestStrategy,0.7867240408517291,0.00029777594279020784,0.07792676866135059,-41.44754233461417,0.47988553884258106
alpha_ROE_ROA,2012,TestStrategy,0.8930654612108725,0.00033802629114718867,0.08891591221110567,-39.76364531063577,0.52722131749751
alpha_rsi,2012,TestStrategy,0.16832539927709814,6.371135476044593e-05,0.016184839651023762,-51.0227116145568,0.18050783115707797
alpha_sentiment,2012,TestStrategy,0.1396654159775081,5.2863518538042425e-05,0.013410734609767681,-52.75005560579717,0.17507302640466094
alpha_SGQ,2012,TestStrategy,0.8228283518358483,0.00031144146549426507,0.081645236700589,-48.85289744251276,0.42207683253307865
alpha_SGQ_volatility,2012,TestStrategy,0.5743095890549497,0.0002173768315877932,0.05630710439468548,-50.8483788755594,0.3468299481279319
alpha_size,2012,TestStrategy,-0.4731407047256014,-0.0001790842939915221,-0.0441260652916165,-59.43495787282404,-0.10012984185195056
alpha_trade_density,2012,TestStrategy,0.4657431286888567,0.00017628430306164145,0.0454251495685587,-48.71996828088725,0.30676827951880314
alpha_turnover,2012,TestStrategy,8.171676553922262,0.0030929888546261403,1.1802361385396325,-46.8830002624713,2.8954309404908907
alpha_turnover_10,2012,TestStrategy,-0.11206303857582764,-4.2415987348912806e-05,-0.010631906273519719,-58.19996041130702,0.07453072581447807
alpha_turnover_month,2012,TestStrategy,0.13970081007184665,5.2876915242939684e-05,0.01341415585940962,-50.9570568539465,0.17560826144545277
alpha_Volume_Close,2012,TestStrategy,0.6716196675032788,0.0002542088067764114,0.06615702650343984,-50.601913167655574,
alpha_vol_skew,2012,TestStrategy,1.0615260505679796,0.0004017888155064268,0.10655411027802125,-38.76879732801243,0.45868844436807743
