,0
2018-05-02,0.0
2018-05-03,0.00245659999999992
2018-05-04,-0.0013093833688162526
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,0.01036587218050733
2018-07-24,0.010464929637727494
2018-07-25,-0.00010044142308118786
2018-07-26,-0.0030304204325168893
2018-07-27,-0.0005054868914439181
2018-07-30,-0.0011262215931920894
2018-07-31,0.002461039147998001
2018-08-01,-0.009674382615512456
2018-08-02,-0.010762725891637515
2018-08-03,-0.0055673947734601326
2018-08-06,-0.005899540174438722
2018-08-07,0.012611128172337338
2018-08-08,-0.00490570593173667
2018-08-09,0.00703253385236291
2018-08-10,0.0006241272376397156
2018-08-13,-0.002109656977713259
2018-08-14,-0.0009442648175839174
2018-08-15,-0.009429319557181515
2018-08-16,-0.002292897037793229
2018-08-17,-0.0043742629728402704
2018-08-20,0.004484048135955154
2018-08-21,0.006159976799390066
2018-08-22,-0.0019002996053845145
2018-08-23,-0.00045785346735016663
2018-08-24,0.0012852932185758448
2018-08-27,0.009012836947390745
2018-08-28,0.0023013661242534678
2018-08-29,-0.0018254451364119184
2018-08-30,-0.0036360889847809608
2018-08-31,-0.0012157376523966867
2018-09-03,-0.002572215773583353
2018-09-04,0.00427965689318377
2018-09-05,-0.007116831943205115
2018-09-06,-0.002310741450987086
2018-09-07,0.00037017496875013656
2018-09-10,-0.005632594421772885
2018-09-11,-0.000632244489700784
2018-09-12,-0.0025000915110228172
2018-09-13,0.0049047059125613135
2018-09-14,0.0009196502887536262
2018-09-17,-0.005223237650802237
2018-09-18,0.006690133162667866
2018-09-19,0.006552788322737646
2018-09-20,-0.0005877192514762708
2018-09-21,0.009185384474595049
2018-09-25,-0.004856174128950785
2018-09-26,0.002914806200069453
2018-09-27,-0.0013305804317180758
2018-09-28,0.006545594518901021
2018-10-08,-0.015916186162764356
2018-10-09,0.0007537407473690028
2018-10-10,-0.0009520642394875711
2018-10-11,-0.02409762515128
2018-10-12,0.0031786737585282054
2018-10-15,-0.009319497526239506
2018-10-16,-0.0110981194903228
2018-10-17,0.004638949869145481
2018-10-18,-0.01112243020931547
2018-10-19,0.010547775035130824
2018-10-22,0.018541092765895772
2018-10-23,-0.008899431602848007
2018-10-24,0.0018141563103013514
2018-10-25,0.001461536492722848
2018-10-26,0.0010587249656428543
2018-10-29,-0.010130012125800336
2018-10-30,0.00507047897567281
2018-10-31,0.005011390681061156
2018-11-01,0.0004533764039156285
2018-11-02,0.0108449913853228
2018-11-05,-0.00016870274992797363
2018-11-06,0.000651029098673872
2018-11-07,-0.003184515442261615
2018-11-08,-0.0032464726921986875
2018-11-09,-0.004307953950673515
2018-11-12,0.008218902865221311
2018-11-13,0.005624742090415635
2018-11-14,-0.0028921838883765316
2018-11-15,0.005080772702021452
2018-11-16,-0.0009023202535621833
2018-11-19,0.004336357109074429
2018-11-20,-0.0069741946836126
2018-11-21,0.001637862994822159
2018-11-22,-0.0012813728733737095
2018-11-23,-0.013010111875784935
2018-11-26,0.00016122579688637728
2018-11-27,-0.0006671500200889913
2018-11-28,0.007216845601154986
2018-11-29,-0.004414696578117661
2018-11-30,0.003581778704255578
2018-12-03,0.008980303066358664
2018-12-04,0.0006168463576716743
2018-12-05,-0.0026291962162668936
2018-12-06,-0.0070897775090394966
2018-12-07,0.002069248472231777
2018-12-10,-0.005042160658130124
2018-12-11,0.004151090786601808
2018-12-12,0.000913042303455569
2018-12-13,0.0051735813772837425
2018-12-14,-0.007948609581469257
2018-12-17,-0.0008819422919081887
2018-12-18,-0.0039512914557143786
2018-12-19,-0.004198617598302312
2018-12-20,-0.0028402455080096534
2018-12-21,-0.0030658045772574694
2018-12-24,0.001633051635831606
2018-12-25,-0.002948354351231086
2018-12-26,-4.116822188693359e-05
2018-12-27,-0.0019109880801356782
2018-12-28,0.0025017469269950077
2019-01-02,-0.005263785124234754
2019-01-03,-0.0002205340803913547
2019-01-04,0.011930224260177313
2019-01-07,0.0029336499617631517
2019-01-08,-9.399253572572874e-06
2019-01-09,0.0017107858399016962
2019-01-10,-0.003796542036555328
2019-01-11,0.0035843185323387594
2019-01-14,-0.0022143237153986473
2019-01-15,0.006839708313644666
2019-01-16,-0.001919378140377459
2019-01-17,-0.0019134985893282108
2019-01-18,0.005429058073914028
2019-01-21,0.0002705006704351032
2019-01-22,-0.004861408777547371
2019-01-23,-0.0005777158356151668
2019-01-24,0.0031865955659462486
2019-01-25,0.0016763437371030143
2019-01-28,-0.0005187413121575668
2019-01-29,-0.0009038629468116621
2019-01-30,-0.0020245864841949013
2019-01-31,-0.00030729176748411913
2019-02-01,0.00672534961894522
2019-02-11,0.00661958486452674
2019-02-12,0.0039216240102872835
2019-02-13,0.009318344872784712
2019-02-14,-0.0008481427814962528
